"","name","url","query","woeid"
"1","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","23424977"
"2","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","23424977"
"3","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","23424977"
"4","#2014Faves","http://twitter.com/search?q=%232014Faves","%232014Faves","23424977"
"5","Tomorrow is Christmas Eve","http://twitter.com/search?q=%22Tomorrow+is+Christmas+Eve%22","%22Tomorrow+is+Christmas+Eve%22","23424977"
"6","#23ReasonsWhyWeLoveLouis","http://twitter.com/search?q=%2323ReasonsWhyWeLoveLouis","%2323ReasonsWhyWeLoveLouis","23424977"
"7","Pro Bowl","http://twitter.com/search?q=%22Pro+Bowl%22","%22Pro+Bowl%22","23424977"
"8","Kenny and Andrea","http://twitter.com/search?q=%22Kenny+and+Andrea%22","%22Kenny+and+Andrea%22","23424977"
"9","Aflac","http://twitter.com/search?q=Aflac","Aflac","23424977"
"10","Watching the 1D","http://twitter.com/search?q=%22Watching+the+1D%22","%22Watching+the+1D%22","23424977"
"11","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","23424975"
"12","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","23424975"
"13","#23ReasonsWhyWeLoveLouis","http://twitter.com/search?q=%2323ReasonsWhyWeLoveLouis","%2323ReasonsWhyWeLoveLouis","23424975"
"14","Saving Private Ryan","http://twitter.com/search?q=%22Saving+Private+Ryan%22","%22Saving+Private+Ryan%22","23424975"
"15","Ali G","http://twitter.com/search?q=%22Ali+G%22","%22Ali+G%22","23424975"
"16","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","23424975"
"17","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","23424975"
"18","Louis is 23","http://twitter.com/search?q=%22Louis+is+23%22","%22Louis+is+23%22","23424975"
"19","Bridget Jones","http://twitter.com/search?q=%22Bridget+Jones%22","%22Bridget+Jones%22","23424975"
"20","Tim Burton and Helena Bonham Carter","http://twitter.com/search?q=%22Tim+Burton+and+Helena+Bonham+Carter%22","%22Tim+Burton+and+Helena+Bonham+Carter%22","23424975"
"21","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","23424775"
"22","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","23424775"
"23","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","23424775"
"24","Christmas","http://twitter.com/search?q=Christmas","Christmas","23424775"
"25","#Festivus","http://twitter.com/search?q=%23Festivus","%23Festivus","23424775"
"26","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","23424775"
"27","Happy Holidays","http://twitter.com/search?q=%22Happy+Holidays%22","%22Happy+Holidays%22","23424775"
"28","Markov","http://twitter.com/search?q=Markov","Markov","23424775"
"29","Santa","http://twitter.com/search?q=Santa","Santa","23424775"
"30","New Years","http://twitter.com/search?q=%22New+Years%22","%22New+Years%22","23424775"
"31","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","23424900"
"32","#EnNavidadQuiero","http://twitter.com/search?q=%23EnNavidadQuiero","%23EnNavidadQuiero","23424900"
"33","#WeAreAll1D","http://twitter.com/search?q=%23WeAreAll1D","%23WeAreAll1D","23424900"
"34","#23ReasonsWhyWeLoveLouis","http://twitter.com/search?q=%2323ReasonsWhyWeLoveLouis","%2323ReasonsWhyWeLoveLouis","23424900"
"35","#MientoComoPizzaHut","http://twitter.com/search?q=%23MientoComoPizzaHut","%23MientoComoPizzaHut","23424900"
"36","Tim Burton y Helena Bonham Carter","http://twitter.com/search?q=%22Tim+Burton+y+Helena+Bonham+Carter%22","%22Tim+Burton+y+Helena+Bonham+Carter%22","23424900"
"37","Tommo","http://twitter.com/search?q=Tommo","Tommo","23424900"
"38","Santa","http://twitter.com/search?q=Santa","Santa","23424900"
"39","Gustavo","http://twitter.com/search?q=Gustavo","Gustavo","23424900"
"40","Christmas","http://twitter.com/search?q=Christmas","Christmas","23424900"
"41","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","2459115"
"42","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","2459115"
"43","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2459115"
"44","#2014Faves","http://twitter.com/search?q=%232014Faves","%232014Faves","2459115"
"45","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","2459115"
"46","Christmas Eve","http://twitter.com/search?q=%22Christmas+Eve%22","%22Christmas+Eve%22","2459115"
"47","Pro Bowl","http://twitter.com/search?q=%22Pro+Bowl%22","%22Pro+Bowl%22","2459115"
"48","Happy Holidays","http://twitter.com/search?q=%22Happy+Holidays%22","%22Happy+Holidays%22","2459115"
"49","Santa","http://twitter.com/search?q=Santa","Santa","2459115"
"50","New Years","http://twitter.com/search?q=%22New+Years%22","%22New+Years%22","2459115"
"51","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2424766"
"52","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","2424766"
"53","Christmas Eve","http://twitter.com/search?q=%22Christmas+Eve%22","%22Christmas+Eve%22","2424766"
"54","#1DonNBC","http://twitter.com/search?q=%231DonNBC","%231DonNBC","2424766"
"55","#AskAC","http://twitter.com/search?q=%23AskAC","%23AskAC","2424766"
"56","Zach","http://twitter.com/search?q=Zach","Zach","2424766"
"57","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2424766"
"58","New Years","http://twitter.com/search?q=%22New+Years%22","%22New+Years%22","2424766"
"59","Walmart","http://twitter.com/search?q=Walmart","Walmart","2424766"
"60","Trivia Crack","http://twitter.com/search?q=%22Trivia+Crack%22","%22Trivia+Crack%22","2424766"
"61","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","2388929"
"62","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2388929"
"63","#1DonNBC","http://twitter.com/search?q=%231DonNBC","%231DonNBC","2388929"
"64","#AskAC","http://twitter.com/search?q=%23AskAC","%23AskAC","2388929"
"65","Josh Smith","http://twitter.com/search?q=%22Josh+Smith%22","%22Josh+Smith%22","2388929"
"66","Pro Bowl","http://twitter.com/search?q=%22Pro+Bowl%22","%22Pro+Bowl%22","2388929"
"67","Santa","http://twitter.com/search?q=Santa","Santa","2388929"
"68","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2388929"
"69","Walmart","http://twitter.com/search?q=Walmart","Walmart","2388929"
"70","Target","http://twitter.com/search?q=Target","Target","2388929"
"71","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","2367105"
"72","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2367105"
"73","#behindtheb","http://twitter.com/search?q=%23behindtheb","%23behindtheb","2367105"
"74","Bengals","http://twitter.com/search?q=Bengals","Bengals","2367105"
"75","Josh Smith","http://twitter.com/search?q=%22Josh+Smith%22","%22Josh+Smith%22","2367105"
"76","Santa","http://twitter.com/search?q=Santa","Santa","2367105"
"77","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2367105"
"78","Peyton","http://twitter.com/search?q=Peyton","Peyton","2367105"
"79","Brady","http://twitter.com/search?q=Brady","Brady","2367105"
"80","Bart","http://twitter.com/search?q=Bart","Bart","2367105"
"81","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2442047"
"82","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","2442047"
"83","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","2442047"
"84","#EntourageMovie","http://twitter.com/search?q=%23EntourageMovie","%23EntourageMovie","2442047"
"85","#23ReasonsWhyWeLoveLouis","http://twitter.com/search?q=%2323ReasonsWhyWeLoveLouis","%2323ReasonsWhyWeLoveLouis","2442047"
"86","Tomorrow is Christmas Eve","http://twitter.com/search?q=%22Tomorrow+is+Christmas+Eve%22","%22Tomorrow+is+Christmas+Eve%22","2442047"
"87","Happy Holidays","http://twitter.com/search?q=%22Happy+Holidays%22","%22Happy+Holidays%22","2442047"
"88","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2442047"
"89","New Years","http://twitter.com/search?q=%22New+Years%22","%22New+Years%22","2442047"
"90","Santa","http://twitter.com/search?q=Santa","Santa","2442047"
"91","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2487956"
"92","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","2487956"
"93","#AskAC","http://twitter.com/search?q=%23AskAC","%23AskAC","2487956"
"94","#31Gifts","http://twitter.com/search?q=%2331Gifts","%2331Gifts","2487956"
"95","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2487956"
"96","Santa","http://twitter.com/search?q=Santa","Santa","2487956"
"97","North Korea","http://twitter.com/search?q=%22North+Korea%22","%22North+Korea%22","2487956"
"98","Sony","http://twitter.com/search?q=Sony","Sony","2487956"
"99","Marshawn Lynch","http://twitter.com/search?q=%22Marshawn+Lynch%22","%22Marshawn+Lynch%22","2487956"
"100","America","http://twitter.com/search?q=America","America","2487956"
"101","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2490383"
"102","#AskAC","http://twitter.com/search?q=%23AskAC","%23AskAC","2490383"
"103","Santa","http://twitter.com/search?q=Santa","Santa","2490383"
"104","#BeastMode","http://twitter.com/search?q=%23BeastMode","%23BeastMode","2490383"
"105","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2490383"
"106","#GoHawks","http://twitter.com/search?q=%23GoHawks","%23GoHawks","2490383"
"107","Seahawks","http://twitter.com/search?q=Seahawks","Seahawks","2490383"
"108","Super Bowl","http://twitter.com/search?q=%22Super+Bowl%22","%22Super+Bowl%22","2490383"
"109","Tacoma","http://twitter.com/search?q=Tacoma","Tacoma","2490383"
"110","Trivia Crack","http://twitter.com/search?q=%22Trivia+Crack%22","%22Trivia+Crack%22","2490383"
"111","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","2379574"
"112","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2379574"
"113","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","2379574"
"114","#shanedawsonsony","http://twitter.com/search?q=%23shanedawsonsony","%23shanedawsonsony","2379574"
"115","#1DonNBC","http://twitter.com/search?q=%231DonNBC","%231DonNBC","2379574"
"116","Pro Bowl","http://twitter.com/search?q=%22Pro+Bowl%22","%22Pro+Bowl%22","2379574"
"117","Santa","http://twitter.com/search?q=Santa","Santa","2379574"
"118","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2379574"
"119","Grand Piano","http://twitter.com/search?q=%22Grand+Piano%22","%22Grand+Piano%22","2379574"
"120","Kenny and Andrea","http://twitter.com/search?q=%22Kenny+and+Andrea%22","%22Kenny+and+Andrea%22","2379574"
"121","#1DTVSpecial","http://twitter.com/search?q=%231DTVSpecial","%231DTVSpecial","2514815"
"122","#2014Faves","http://twitter.com/search?q=%232014Faves","%232014Faves","2514815"
"123","#Festivus","http://twitter.com/search?q=%23Festivus","%23Festivus","2514815"
"124","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","2514815"
"125","#1DonNBC","http://twitter.com/search?q=%231DonNBC","%231DonNBC","2514815"
"126","New Years","http://twitter.com/search?q=%22New+Years%22","%22New+Years%22","2514815"
"127","Lupe","http://twitter.com/search?q=Lupe","Lupe","2514815"
"128","The Interview","http://twitter.com/search?q=%22The+Interview%22","%22The+Interview%22","2514815"
"129","Pro Bowl","http://twitter.com/search?q=%22Pro+Bowl%22","%22Pro+Bowl%22","2514815"
"130","Wale","http://twitter.com/search?q=Wale","Wale","2514815"
"131","#HappyBirthdayLouis","http://twitter.com/search?q=%23HappyBirthdayLouis","%23HappyBirthdayLouis","44418"
"132","Christmas Eve","http://twitter.com/search?q=%22Christmas+Eve%22","%22Christmas+Eve%22","44418"
"133","#lifeofnash","http://twitter.com/search?q=%23lifeofnash","%23lifeofnash","44418"
"134","Bridget Jones","http://twitter.com/search?q=%22Bridget+Jones%22","%22Bridget+Jones%22","44418"
"135","#masterchefprofessionals","http://twitter.com/search?q=%23masterchefprofessionals","%23masterchefprofessionals","44418"
"136","#TheWrongMans","http://twitter.com/search?q=%23TheWrongMans","%23TheWrongMans","44418"
"137","#23ReasonsWhyWeLoveLouis","http://twitter.com/search?q=%2323ReasonsWhyWeLoveLouis","%2323ReasonsWhyWeLoveLouis","44418"
"138","Shrek 2","http://twitter.com/search?q=%22Shrek+2%22","%22Shrek+2%22","44418"
"139","Max Hopp","http://twitter.com/search?q=%22Max+Hopp%22","%22Max+Hopp%22","44418"
"140","Clarke Carlisle","http://twitter.com/search?q=%22Clarke+Carlisle%22","%22Clarke+Carlisle%22","44418"
"141","#2014TaughtMe","http://twitter.com/search?q=%232014TaughtMe","%232014TaughtMe","23424922"
"142","#Jamiat67Years","http://twitter.com/search?q=%23Jamiat67Years","%23Jamiat67Years","23424922"
"143","#KhanQuotes","http://twitter.com/search?q=%23KhanQuotes","%23KhanQuotes","23424922"
"144","#IDontUnderstandWhy","http://twitter.com/search?q=%23IDontUnderstandWhy","%23IDontUnderstandWhy","23424922"
"145","#IKIsOurLastHope","http://twitter.com/search?q=%23IKIsOurLastHope","%23IKIsOurLastHope","23424922"
"146","LaLa","http://twitter.com/search?q=LaLa","LaLa","23424922"
"147","Taliban","http://twitter.com/search?q=Taliban","Taliban","23424922"
"148","Afridi","http://twitter.com/search?q=Afridi","Afridi","23424922"
"149","Army","http://twitter.com/search?q=Army","Army","23424922"
"150","Yaar","http://twitter.com/search?q=Yaar","Yaar","23424922"
